ds,y
2020-10-24,88
2020-10-31,109
2020-11-07,102
2020-11-14,115
2020-11-21,122
2020-11-28,113
2020-12-05,115
2020-12-12,115
2020-12-19,100
2020-12-26,126
2021-01-02,113
2021-01-09,129
2021-01-16,122
2021-01-23,107
2021-01-30,124
2021-02-06,118
2021-02-13,110
2021-02-20,106
2021-02-27,117
2021-03-06,122
2021-03-13,119
2021-03-20,119
2021-03-27,137
2021-04-03,125
2021-04-10,131
2021-04-17,136
2021-04-24,124
2021-05-01,113
2021-05-08,116
2021-05-15,126
2021-05-22,114
2021-05-29,115
2021-06-05,126
2021-06-12,154
2021-06-19,117
2021-06-26,150
2021-07-03,229
2021-07-10,178
2021-07-17,149
2021-07-24,133
2021-07-31,146
